Vegetation Type,,Acidobacteria,Proteobacteria,Actinobacteria,Bacteroidetes,Thaumarchaeota,Chloroflexi,Planctomycetes,Gemmatimonadetes,Firmicutes,Nitrospirae,Euryarchaeota,others,Site,Composition,Phylum,
Temperate Steppe,NM83,0.274133333,0.165066667,0.0656,0.0724,0.2504,0.039466667,0.033066667,0.013466667,0.033333333,0.0184,0.0024,0.032266667,NM83,0.274133333,Acidobacteria,
Temperate Steppe,NM85,0.328266667,0.2344,0.0944,0.11,0.036,0.033733333,0.0544,0.026666667,0.011466667,0.014133333,0.000266667,0.056266667,NM85,0.328266667,Acidobacteria,
Temperate Steppe,NM113,0.375066667,0.222666667,0.119466667,0.059866667,0.030933333,0.0448,0.0532,0.041466667,0.008,0.012133333,0,0.0324,NM113,0.375066667,Acidobacteria,
Temperate Steppe,NM115,0.336133333,0.301866667,0.0612,0.1036,0.019466667,0.033466667,0.054933333,0.028533333,0.004533333,0.0228,0.000133333,0.033333333,NM115,0.336133333,Acidobacteria,
Temperate Steppe,NM117,0.366266667,0.211733333,0.118266667,0.036,0.1008,0.030533333,0.046133333,0.028533333,0.0052,0.021333333,0.0004,0.0348,NM117,0.366266667,Acidobacteria,
Temperate Steppe,NM119,0.335466667,0.274933333,0.106933333,0.066133333,0.024666667,0.0348,0.0524,0.034666667,0.014133333,0.018,0.000266667,0.0376,NM119,0.335466667,Acidobacteria,
Temperate Steppe,NM121,0.422,0.19,0.088933333,0.140133333,0.018,0.025466667,0.031333333,0.030266667,0.0228,0.0064,0,0.024666667,NM121,0.422,Acidobacteria,
Temperate Steppe,NM123,0.434133333,0.180266667,0.0524,0.112266667,0.020533333,0.0268,0.0572,0.017333333,0.014533333,0.0188,0.000133333,0.0656,NM123,0.434133333,Acidobacteria,
Temperate Steppe,NM125,0.349733333,0.184933333,0.1636,0.0284,0.057066667,0.041066667,0.0632,0.029333333,0.0112,0.017333333,0.000266667,0.053866667,NM125,0.349733333,Acidobacteria,
Temperate Steppe,NM127,0.346133333,0.190266667,0.128266667,0.0872,0.0432,0.043333333,0.049333333,0.042266667,0.0064,0.015733333,0.0004,0.047466667,NM127,0.346133333,Acidobacteria,
Temperate Steppe,NM129,0.316266667,0.166933333,0.180133333,0.0472,0.0292,0.055066667,0.058666667,0.0668,0.005066667,0.026666667,0.0008,0.0472,NM129,0.316266667,Acidobacteria,
Temperate Desert,NM7,0.154666667,0.201866667,0.164666667,0.076266667,0.0752,0.0712,0.033733333,0.028533333,0.0324,0.010933333,0.0004,0.150133333,NM7,0.154666667,Acidobacteria,
Temperate Desert,NM9,0.1888,0.184,0.192,0.031066667,0.107333333,0.084666667,0.038,0.046,0.043866667,0.0144,0.001733333,0.068133333,NM9,0.1888,Acidobacteria,
Temperate Desert,NM11,0.163866667,0.119866667,0.277333333,0.048533333,0.1172,0.077333333,0.051733333,0.028933333,0.0284,0.010933333,0.000666667,0.0752,NM11,0.163866667,Acidobacteria,
Temperate Desert,NM13,0.182666667,0.145733333,0.225733333,0.052533333,0.091733333,0.066,0.048,0.032933333,0.066266667,0.011066667,0.000933333,0.0764,NM13,0.182666667,Acidobacteria,
Temperate Desert,NM17,0.197333333,0.1668,0.150666667,0.1436,0.1016,0.054666667,0.041866667,0.022,0.0248,0.010133333,0.0004,0.086133333,NM17,0.197333333,Acidobacteria,
Temperate Desert,NM21,0.163066667,0.1812,0.205466667,0.076533333,0.100133333,0.0736,0.041866667,0.038,0.036133333,0.011733333,0.001066667,0.0712,NM21,0.163066667,Acidobacteria,
